,country,year,age,sex,Average_suicides_per_capita
7834,Ecuador,1996-01-01,55-74 years,female,1.94
23918,Sri Lanka,1986-01-01,5-14 years,female,1.94
23501,South Africa,2013-01-01,55-74 years,male,1.94
10086,Greece,1990-01-01,35-54 years,female,1.94
14871,Latvia,2001-01-01,5-14 years,male,1.94
17246,Netherlands,2000-01-01,15-24 years,female,1.94
13114,Italy,2012-01-01,25-34 years,female,1.94
10192,Greece,1999-01-01,25-34 years,female,1.94
8108,El Salvador,1993-01-01,5-14 years,female,1.94
24219,Suriname,2002-01-01,5-14 years,male,1.94
4832,Bulgaria,2009-01-01,15-24 years,female,1.94
11006,Guatemala,2011-01-01,25-34 years,female,1.94
20844,Romania,2009-01-01,25-34 years,female,1.93
20748,Romania,2001-01-01,25-34 years,female,1.93
19776,Puerto Rico,1993-01-01,15-24 years,female,1.93
8683,Fiji,2007-01-01,35-54 years,male,1.93
2580,Bahamas,2009-01-01,35-54 years,female,1.93
2345,Azerbaijan,2004-01-01,55-74 years,male,1.93
4458,Brazil,2008-01-01,75+ years,female,1.93
10780,Guatemala,1992-01-01,35-54 years,female,1.93
18304,Panama,1988-01-01,35-54 years,female,1.93
5416,Chile,1997-01-01,55-74 years,female,1.93
5464,Chile,2001-01-01,55-74 years,female,1.93
8156,El Salvador,1998-01-01,5-14 years,female,1.92
1160,Armenia,2008-01-01,55-74 years,female,1.92
8016,Ecuador,2011-01-01,75+ years,female,1.92
8290,El Salvador,2009-01-01,55-74 years,female,1.92
26453,United Arab Emirates,2009-01-01,15-24 years,male,1.92
12440,Israel,1987-01-01,15-24 years,female,1.92
1165,Armenia,2009-01-01,15-24 years,male,1.92
7758,Ecuador,1990-01-01,35-54 years,female,1.92
7798,Ecuador,1993-01-01,55-74 years,female,1.92
6340,Costa Rica,2012-01-01,55-74 years,female,1.92
3243,Belarus,1994-01-01,5-14 years,male,1.92
24038,Suriname,1985-01-01,5-14 years,female,1.91
6810,Cuba,2007-01-01,15-24 years,female,1.91
9603,Georgia,2006-01-01,15-24 years,male,1.91
14643,Kyrgyzstan,2003-01-01,5-14 years,male,1.91
11556,Hungary,2007-01-01,15-24 years,female,1.91
14,Albania,1988-01-01,25-34 years,female,1.91
20000,Puerto Rico,2011-01-01,55-74 years,female,1.91
14477,Kuwait,2014-01-01,55-74 years,male,1.91
14656,Kyrgyzstan,2004-01-01,55-74 years,female,1.91
2698,Bahrain,1999-01-01,25-34 years,female,1.91
24303,Suriname,2009-01-01,5-14 years,male,1.91
7952,Ecuador,2006-01-01,5-14 years,female,1.91
23409,South Africa,2006-01-01,15-24 years,male,1.91
24243,Suriname,2004-01-01,5-14 years,male,1.91
4434,Brazil,2006-01-01,75+ years,female,1.91
7953,Ecuador,2006-01-01,5-14 years,male,1.91
3387,Belarus,2009-01-01,5-14 years,male,1.9
16224,Mauritius,1988-01-01,5-14 years,female,1.9
14257,Kuwait,1996-01-01,35-54 years,male,1.9
10904,Guatemala,2002-01-01,55-74 years,female,1.9
16928,Mexico,2015-01-01,35-54 years,female,1.9
9615,Georgia,2007-01-01,15-24 years,male,1.9
13126,Italy,2013-01-01,25-34 years,female,1.9
14739,Kyrgyzstan,2011-01-01,5-14 years,male,1.9
19406,Portugal,1989-01-01,25-34 years,female,1.9
7830,Ecuador,1996-01-01,35-54 years,female,1.9
8328,El Salvador,2012-01-01,75+ years,female,1.9
5926,Colombia,2009-01-01,25-34 years,female,1.9
12610,Israel,2001-01-01,25-34 years,female,1.9
17824,Nicaragua,2012-01-01,35-54 years,female,1.89
26476,United Kingdom,1985-01-01,15-24 years,female,1.89
25522,Trinidad and Tobago,2002-01-01,5-14 years,female,1.89
26728,United Kingdom,2006-01-01,15-24 years,female,1.89
5874,Colombia,2004-01-01,75+ years,female,1.89
20042,Puerto Rico,2015-01-01,25-34 years,female,1.89
100,Albania,1997-01-01,35-54 years,female,1.89
12670,Israel,2006-01-01,25-34 years,female,1.89
17834,Nicaragua,2013-01-01,25-34 years,female,1.89
4695,Bulgaria,1997-01-01,5-14 years,male,1.89
4256,Brazil,1992-01-01,15-24 years,female,1.89
13150,Italy,2015-01-01,25-34 years,female,1.89
12596,Israel,2000-01-01,15-24 years,female,1.89
23383,South Africa,2003-01-01,75+ years,male,1.89
18079,Norway,2003-01-01,5-14 years,male,1.89
946,Argentina,2014-01-01,75+ years,female,1.89
19284,Poland,2010-01-01,15-24 years,female,1.89
4623,Bulgaria,1991-01-01,5-14 years,male,1.88
2710,Bahrain,2000-01-01,25-34 years,female,1.88
1066,Armenia,1998-01-01,75+ years,female,1.88
19464,Portugal,1994-01-01,15-24 years,female,1.88
5511,Chile,2005-01-01,5-14 years,male,1.88
14351,Kuwait,2004-01-01,25-34 years,male,1.88
23471,South Africa,2011-01-01,25-34 years,male,1.88
6292,Costa Rica,2008-01-01,55-74 years,female,1.88
2592,Bahamas,2010-01-01,35-54 years,female,1.88
4354,Brazil,2000-01-01,25-34 years,female,1.88
7926,Ecuador,2004-01-01,35-54 years,female,1.88
18266,Panama,1985-01-01,25-34 years,female,1.88
14385,Kuwait,2007-01-01,15-24 years,male,1.87
22827,Slovakia,1996-01-01,5-14 years,male,1.87
18722,Paraguay,2001-01-01,25-34 years,female,1.87
151,Albania,2001-01-01,5-14 years,male,1.87
26420,United Arab Emirates,2006-01-01,35-54 years,female,1.87
27575,Uzbekistan,1991-01-01,5-14 years,male,1.87
8037,Ecuador,2013-01-01,5-14 years,male,1.87
25194,Thailand,2007-01-01,15-24 years,female,1.87
5324,Chile,1990-01-01,15-24 years,female,1.87
23576,Spain,1989-01-01,15-24 years,female,1.87
8312,El Salvador,2011-01-01,5-14 years,female,1.87
5067,Canada,1997-01-01,5-14 years,male,1.87
26087,Ukraine,1988-01-01,5-14 years,male,1.87
12944,Italy,1998-01-01,15-24 years,female,1.87
5442,Chile,1999-01-01,75+ years,female,1.87
21195,Russian Federation,2010-01-01,5-14 years,male,1.87
25787,Turkmenistan,1992-01-01,5-14 years,male,1.86
22918,Slovakia,2004-01-01,25-34 years,female,1.86
12682,Israel,2007-01-01,25-34 years,female,1.86
3447,Belgium,1985-01-01,5-14 years,male,1.86
5746,Colombia,1994-01-01,25-34 years,female,1.86
13329,Jamaica,2009-01-01,15-24 years,male,1.86
22834,Slovakia,1997-01-01,25-34 years,female,1.86
18830,Paraguay,2010-01-01,25-34 years,female,1.86
26457,United Arab Emirates,2009-01-01,35-54 years,male,1.86
26461,United Arab Emirates,2009-01-01,55-74 years,male,1.86
5376,Chile,1994-01-01,35-54 years,female,1.86
8028,Ecuador,2012-01-01,75+ years,female,1.86
19135,Poland,1995-01-01,5-14 years,male,1.86
9474,Georgia,1992-01-01,35-54 years,female,1.86
12198,Ireland,1996-01-01,75+ years,female,1.86
10786,Guatemala,1992-01-01,75+ years,female,1.86
25266,Thailand,2013-01-01,15-24 years,female,1.86
6944,Cyprus,2004-01-01,25-34 years,female,1.85
22172,Serbia,2015-01-01,15-24 years,female,1.85
5962,Colombia,2012-01-01,25-34 years,female,1.85
22988,Slovakia,2010-01-01,15-24 years,female,1.85
17959,Norway,1993-01-01,5-14 years,male,1.85
10336,Greece,2011-01-01,25-34 years,female,1.85
10120,Greece,1993-01-01,25-34 years,female,1.85
16166,Malta,2014-01-01,55-74 years,female,1.85
23433,South Africa,2008-01-01,15-24 years,male,1.85
26255,Ukraine,2002-01-01,5-14 years,male,1.85
6334,Costa Rica,2012-01-01,25-34 years,female,1.85
20916,Romania,2015-01-01,25-34 years,female,1.84
10908,Guatemala,2003-01-01,15-24 years,female,1.84
19008,Philippines,2007-01-01,15-24 years,female,1.84
14388,Kuwait,2007-01-01,35-54 years,female,1.84
5856,Colombia,2003-01-01,35-54 years,female,1.84
10210,Greece,2000-01-01,55-74 years,female,1.84
18882,Paraguay,2014-01-01,5-14 years,female,1.84
9700,Georgia,2015-01-01,25-34 years,female,1.84
2616,Bahamas,2012-01-01,35-54 years,female,1.84
16842,Mexico,2008-01-01,25-34 years,female,1.83
18324,Panama,1996-01-01,15-24 years,female,1.83
7930,Ecuador,2004-01-01,55-74 years,female,1.83
19584,Portugal,2007-01-01,15-24 years,female,1.83
9472,Georgia,1992-01-01,25-34 years,female,1.83
14301,Kuwait,2000-01-01,15-24 years,male,1.83
12548,Israel,1996-01-01,15-24 years,female,1.83
2628,Bahamas,2013-01-01,35-54 years,female,1.83
4808,Bulgaria,2007-01-01,15-24 years,female,1.83
23564,Spain,1988-01-01,15-24 years,female,1.83
16866,Mexico,2010-01-01,25-34 years,female,1.83
2720,Bahrain,2001-01-01,15-24 years,female,1.83
19814,Puerto Rico,1996-01-01,25-34 years,female,1.83
20868,Romania,2011-01-01,25-34 years,female,1.83
7612,Denmark,2010-01-01,25-34 years,female,1.83
19030,Philippines,2008-01-01,75+ years,female,1.83
12932,Italy,1997-01-01,15-24 years,female,1.83
25696,Turkey,2014-01-01,15-24 years,female,1.83
6375,Croatia,1995-01-01,5-14 years,male,1.83
10994,Guatemala,2010-01-01,25-34 years,female,1.83
7894,Ecuador,2001-01-01,55-74 years,female,1.83
5031,Canada,1994-01-01,5-14 years,male,1.83
2796,Bahrain,2007-01-01,35-54 years,female,1.82
26452,United Arab Emirates,2009-01-01,15-24 years,female,1.82
16162,Malta,2014-01-01,35-54 years,female,1.82
8024,Ecuador,2012-01-01,5-14 years,female,1.82
7878,Ecuador,2000-01-01,35-54 years,female,1.82
8146,El Salvador,1997-01-01,55-74 years,female,1.82
4342,Brazil,1999-01-01,25-34 years,female,1.82
13353,Jamaica,2011-01-01,15-24 years,male,1.82
7288,Czech Republic,2006-01-01,15-24 years,female,1.82
3351,Belarus,2003-01-01,5-14 years,male,1.82
14399,Kuwait,2008-01-01,25-34 years,male,1.82
18496,Panama,2010-01-01,35-54 years,female,1.81
19850,Puerto Rico,1999-01-01,25-34 years,female,1.81
2291,Azerbaijan,2000-01-01,25-34 years,male,1.81
6304,Costa Rica,2009-01-01,55-74 years,female,1.81
17899,Norway,1988-01-01,5-14 years,male,1.81
25510,Trinidad and Tobago,2001-01-01,5-14 years,female,1.81
13078,Italy,2009-01-01,25-34 years,female,1.81
20734,Romania,2000-01-01,15-24 years,female,1.81
23389,South Africa,2004-01-01,35-54 years,male,1.81
20078,Qatar,2004-01-01,25-34 years,female,1.81
8238,El Salvador,2005-01-01,35-54 years,female,1.81
2843,Bahrain,2011-01-01,25-34 years,male,1.81
17563,New Zealand,1994-01-01,5-14 years,male,1.81
27671,Uzbekistan,1999-01-01,5-14 years,male,1.81
6216,Costa Rica,2002-01-01,35-54 years,female,1.81
7115,Czech Republic,1991-01-01,5-14 years,male,1.81
4220,Brazil,1989-01-01,15-24 years,female,1.81
15947,Malta,1996-01-01,35-54 years,male,1.81
13994,Kazakhstan,2011-01-01,5-14 years,female,1.8
146,Albania,2001-01-01,25-34 years,female,1.8
5710,Colombia,1991-01-01,25-34 years,female,1.8
3363,Belarus,2007-01-01,5-14 years,male,1.8
10034,Greece,1986-01-01,15-24 years,female,1.8
25000,Thailand,1986-01-01,75+ years,female,1.8
18638,Paraguay,1994-01-01,25-34 years,female,1.8
8313,El Salvador,2011-01-01,5-14 years,male,1.8
22100,Serbia,2009-01-01,15-24 years,female,1.8
26472,United Arab Emirates,2010-01-01,55-74 years,female,1.8
1144,Armenia,2007-01-01,35-54 years,female,1.8
4844,Bulgaria,2010-01-01,15-24 years,female,1.8
6164,Costa Rica,1998-01-01,15-24 years,female,1.8
10022,Greece,1985-01-01,15-24 years,female,1.8
4563,Bulgaria,1986-01-01,5-14 years,male,1.8
16830,Mexico,2007-01-01,25-34 years,female,1.8
5454,Chile,2000-01-01,75+ years,female,1.8
10182,Greece,1998-01-01,35-54 years,female,1.8
8060,Ecuador,2015-01-01,5-14 years,female,1.79
19066,Philippines,2011-01-01,75+ years,female,1.79
5932,Colombia,2009-01-01,55-74 years,female,1.79
27587,Uzbekistan,1992-01-01,5-14 years,male,1.79
23503,South Africa,2013-01-01,75+ years,male,1.79
15063,Lithuania,1996-01-01,5-14 years,male,1.79
7836,Ecuador,1996-01-01,75+ years,female,1.79
10284,Greece,2006-01-01,75+ years,female,1.79
998,Armenia,1993-01-01,25-34 years,female,1.79
25182,Thailand,2006-01-01,15-24 years,female,1.79
10234,Greece,2002-01-01,55-74 years,female,1.79
5352,Chile,1992-01-01,35-54 years,female,1.79
8049,Ecuador,2014-01-01,5-14 years,male,1.79
12872,Italy,1992-01-01,15-24 years,female,1.79
23327,South Africa,1999-01-01,25-34 years,male,1.79
5398,Chile,1996-01-01,25-34 years,female,1.79
20753,Romania,2001-01-01,5-14 years,male,1.79
14401,Kuwait,2008-01-01,35-54 years,male,1.79
9532,Georgia,1998-01-01,25-34 years,female,1.79
23421,South Africa,2007-01-01,15-24 years,male,1.79
5860,Colombia,2003-01-01,55-74 years,female,1.79
2722,Bahrain,2001-01-01,25-34 years,female,1.79
15,Albania,1988-01-01,25-34 years,male,1.79
25847,Turkmenistan,1997-01-01,5-14 years,male,1.79
23349,South Africa,2001-01-01,15-24 years,male,1.79
11062,Guatemala,2015-01-01,75+ years,female,1.79
23447,South Africa,2009-01-01,25-34 years,male,1.78
16538,Mauritius,2014-01-01,55-74 years,female,1.78
14360,Kuwait,2005-01-01,15-24 years,female,1.78
20746,Romania,2001-01-01,15-24 years,female,1.78
17812,Nicaragua,2011-01-01,35-54 years,female,1.78
4904,Cabo Verde,2011-01-01,15-24 years,female,1.78
5410,Chile,1997-01-01,25-34 years,female,1.78
8034,Ecuador,2013-01-01,35-54 years,female,1.78
23115,Slovenia,2001-01-01,5-14 years,male,1.78
8050,Ecuador,2014-01-01,55-74 years,female,1.78
7940,Ecuador,2005-01-01,5-14 years,female,1.78
22870,Slovakia,2000-01-01,25-34 years,female,1.78
26267,Ukraine,2003-01-01,5-14 years,male,1.78
14348,Kuwait,2004-01-01,15-24 years,female,1.78
18470,Panama,2008-01-01,25-34 years,female,1.78
22772,Slovakia,1992-01-01,15-24 years,female,1.78
14285,Kuwait,1998-01-01,55-74 years,male,1.78
25254,Thailand,2012-01-01,15-24 years,female,1.78
15219,Lithuania,2009-01-01,5-14 years,male,1.77
26135,Ukraine,1992-01-01,5-14 years,male,1.77
12680,Israel,2007-01-01,15-24 years,female,1.77
5722,Colombia,1992-01-01,25-34 years,female,1.77
5950,Colombia,2011-01-01,25-34 years,female,1.77
1060,Armenia,1998-01-01,35-54 years,female,1.77
5514,Chile,2005-01-01,75+ years,female,1.77
19916,Puerto Rico,2004-01-01,55-74 years,female,1.77
10266,Greece,2005-01-01,35-54 years,female,1.77
14328,Kuwait,2002-01-01,35-54 years,female,1.77
26740,United Kingdom,2007-01-01,15-24 years,female,1.77
18640,Paraguay,1994-01-01,35-54 years,female,1.77
9538,Georgia,1998-01-01,55-74 years,female,1.77
26171,Ukraine,1995-01-01,5-14 years,male,1.77
17778,New Zealand,2012-01-01,5-14 years,female,1.77
6246,Costa Rica,2004-01-01,75+ years,female,1.77
6068,Costa Rica,1990-01-01,15-24 years,female,1.77
8158,El Salvador,1998-01-01,55-74 years,female,1.77
22990,Slovakia,2010-01-01,25-34 years,female,1.77
16030,Malta,2003-01-01,35-54 years,female,1.77
11467,Hungary,1999-01-01,5-14 years,male,1.77
18688,Paraguay,1998-01-01,35-54 years,female,1.76
19730,Puerto Rico,1989-01-01,25-34 years,female,1.76
14472,Kuwait,2014-01-01,35-54 years,female,1.76
14221,Kuwait,1993-01-01,35-54 years,male,1.76
7844,Ecuador,1997-01-01,5-14 years,female,1.76
15982,Malta,1999-01-01,35-54 years,female,1.76
15970,Malta,1998-01-01,35-54 years,female,1.76
15008,Latvia,2013-01-01,15-24 years,female,1.76
1024,Armenia,1995-01-01,35-54 years,female,1.76
8338,El Salvador,2013-01-01,55-74 years,female,1.76
23341,South Africa,2000-01-01,35-54 years,male,1.76
12896,Italy,1994-01-01,15-24 years,female,1.76
2267,Azerbaijan,1998-01-01,25-34 years,male,1.76
14655,Kyrgyzstan,2004-01-01,5-14 years,male,1.76
23636,Spain,1994-01-01,15-24 years,female,1.76
5622,Chile,2014-01-01,75+ years,female,1.76
14397,Kuwait,2008-01-01,15-24 years,male,1.76
1083,Armenia,2000-01-01,25-34 years,male,1.76
3471,Belgium,1987-01-01,5-14 years,male,1.75
25920,Turkmenistan,2003-01-01,55-74 years,female,1.75
6360,Costa Rica,2014-01-01,35-54 years,female,1.75
26425,United Arab Emirates,2006-01-01,55-74 years,male,1.75
5334,Chile,1990-01-01,75+ years,female,1.75
14412,Kuwait,2009-01-01,35-54 years,female,1.75
10392,Greece,2015-01-01,75+ years,female,1.75
16892,Mexico,2012-01-01,35-54 years,female,1.75
6288,Costa Rica,2008-01-01,35-54 years,female,1.75
18264,Panama,1985-01-01,15-24 years,female,1.75
23393,South Africa,2004-01-01,55-74 years,male,1.75
18644,Paraguay,1994-01-01,55-74 years,female,1.75
1069,Armenia,1999-01-01,15-24 years,male,1.74
27767,Uzbekistan,2010-01-01,5-14 years,male,1.74
19956,Puerto Rico,2008-01-01,15-24 years,female,1.74
25682,Turkey,2012-01-01,75+ years,female,1.74
6316,Costa Rica,2010-01-01,55-74 years,female,1.74
10372,Greece,2014-01-01,25-34 years,female,1.74
27683,Uzbekistan,2000-01-01,5-14 years,male,1.74
16856,Mexico,2009-01-01,35-54 years,female,1.74
26406,United Arab Emirates,2005-01-01,25-34 years,female,1.74
5302,Chile,1988-01-01,25-34 years,female,1.74
19852,Puerto Rico,1999-01-01,35-54 years,female,1.74
6968,Cyprus,2006-01-01,25-34 years,female,1.74
5310,Chile,1988-01-01,75+ years,female,1.74
6954,Cyprus,2005-01-01,15-24 years,female,1.74
10338,Greece,2011-01-01,35-54 years,female,1.74
10954,Guatemala,2006-01-01,75+ years,female,1.74
5770,Colombia,1996-01-01,25-34 years,female,1.74
4707,Bulgaria,1998-01-01,5-14 years,male,1.74
19490,Portugal,1996-01-01,25-34 years,female,1.73
25498,Trinidad and Tobago,2000-01-01,5-14 years,female,1.73
9542,Georgia,1999-01-01,15-24 years,female,1.73
26800,United Kingdom,2012-01-01,15-24 years,female,1.73
16904,Mexico,2013-01-01,35-54 years,female,1.73
26034,Turkmenistan,2013-01-01,25-34 years,female,1.73
23517,South Africa,2015-01-01,15-24 years,male,1.73
6286,Costa Rica,2008-01-01,25-34 years,female,1.73
4647,Bulgaria,1993-01-01,5-14 years,male,1.73
12716,Israel,2010-01-01,15-24 years,female,1.73
3207,Belarus,1991-01-01,5-14 years,male,1.73
11068,Guyana,1988-01-01,35-54 years,female,1.73
25976,Turkmenistan,2008-01-01,35-54 years,female,1.73
6092,Costa Rica,1992-01-01,15-24 years,female,1.73
19864,Puerto Rico,2000-01-01,35-54 years,female,1.72
26467,United Arab Emirates,2010-01-01,25-34 years,male,1.72
5646,Colombia,1985-01-01,75+ years,female,1.72
10350,Greece,2012-01-01,35-54 years,female,1.72
7074,Cyprus,2015-01-01,15-24 years,female,1.72
14398,Kuwait,2008-01-01,25-34 years,female,1.72
5734,Colombia,1993-01-01,25-34 years,female,1.72
7360,Czech Republic,2012-01-01,15-24 years,female,1.72
18996,Philippines,2006-01-01,15-24 years,female,1.72
18460,Panama,2007-01-01,35-54 years,female,1.72
8192,El Salvador,2001-01-01,5-14 years,female,1.72
24002,Sri Lanka,2002-01-01,5-14 years,female,1.72
7738,Ecuador,1988-01-01,55-74 years,female,1.72
25884,Turkmenistan,2000-01-01,55-74 years,female,1.72
12258,Ireland,2001-01-01,75+ years,female,1.72
18518,Panama,2012-01-01,25-34 years,female,1.72
19006,Philippines,2006-01-01,75+ years,female,1.72
26315,Ukraine,2007-01-01,5-14 years,male,1.72
8170,El Salvador,1999-01-01,55-74 years,female,1.72
5322,Chile,1989-01-01,75+ years,female,1.71
1114,Armenia,2002-01-01,75+ years,female,1.71
20794,Romania,2005-01-01,15-24 years,female,1.71
6858,Cuba,2011-01-01,15-24 years,female,1.71
19502,Portugal,1997-01-01,25-34 years,female,1.71
18526,Panama,2012-01-01,75+ years,female,1.7
12524,Israel,1994-01-01,15-24 years,female,1.7
25943,Turkmenistan,2005-01-01,5-14 years,male,1.7
16672,Mexico,1994-01-01,15-24 years,female,1.7
10264,Greece,2005-01-01,25-34 years,female,1.7
26066,Turkmenistan,2015-01-01,75+ years,female,1.7
18766,Paraguay,2004-01-01,75+ years,female,1.7
9682,Georgia,2013-01-01,55-74 years,female,1.7
1105,Armenia,2002-01-01,15-24 years,male,1.7
25356,Trinidad and Tobago,1988-01-01,55-74 years,female,1.7
23513,South Africa,2014-01-01,55-74 years,male,1.7
18902,Philippines,1993-01-01,25-34 years,female,1.7
18656,Paraguay,1995-01-01,55-74 years,female,1.7
10946,Guatemala,2006-01-01,25-34 years,female,1.7
16522,Mauritius,2013-01-01,35-54 years,female,1.7
14434,Kuwait,2011-01-01,25-34 years,female,1.69
10206,Greece,2000-01-01,35-54 years,female,1.69
23732,Spain,2002-01-01,15-24 years,female,1.69
23453,South Africa,2009-01-01,55-74 years,male,1.69
8325,El Salvador,2012-01-01,5-14 years,male,1.69
2184,Azerbaijan,1991-01-01,35-54 years,female,1.69
23465,South Africa,2010-01-01,55-74 years,male,1.69
18019,Norway,1998-01-01,5-14 years,male,1.69
26123,Ukraine,1991-01-01,5-14 years,male,1.69
8240,El Salvador,2005-01-01,5-14 years,female,1.69
2221,Azerbaijan,1994-01-01,35-54 years,male,1.69
17599,New Zealand,1997-01-01,5-14 years,male,1.69
25718,Turkey,2015-01-01,75+ years,female,1.69
7882,Ecuador,2000-01-01,55-74 years,female,1.69
23525,South Africa,2015-01-01,55-74 years,male,1.69
13124,Italy,2013-01-01,15-24 years,female,1.69
12920,Italy,1996-01-01,15-24 years,female,1.69
14444,Kuwait,2012-01-01,15-24 years,female,1.69
8001,Ecuador,2010-01-01,5-14 years,male,1.69
16794,Mexico,2004-01-01,25-34 years,female,1.68
23588,Spain,1990-01-01,15-24 years,female,1.68
19896,Puerto Rico,2003-01-01,15-24 years,female,1.68
20777,Romania,2003-01-01,5-14 years,male,1.68
12696,Israel,2008-01-01,35-54 years,female,1.68
17838,Nicaragua,2013-01-01,5-14 years,female,1.68
7710,Ecuador,1986-01-01,35-54 years,female,1.68
19526,Portugal,1999-01-01,25-34 years,female,1.68
2820,Bahrain,2009-01-01,35-54 years,female,1.68
10204,Greece,2000-01-01,25-34 years,female,1.68
23540,Spain,1986-01-01,15-24 years,female,1.68
1244,Armenia,2015-01-01,55-74 years,female,1.68
1081,Armenia,2000-01-01,15-24 years,male,1.68
16806,Mexico,2005-01-01,25-34 years,female,1.68
7670,Denmark,2015-01-01,15-24 years,female,1.68
5320,Chile,1989-01-01,55-74 years,female,1.68
10812,Guatemala,1995-01-01,15-24 years,female,1.68
16474,Mauritius,2009-01-01,35-54 years,female,1.68
6076,Costa Rica,1990-01-01,55-74 years,female,1.68
26147,Ukraine,1993-01-01,5-14 years,male,1.68
19832,Puerto Rico,1997-01-01,55-74 years,female,1.68
13958,Kazakhstan,2008-01-01,5-14 years,female,1.68
12608,Israel,2001-01-01,15-24 years,female,1.68
18412,Panama,2003-01-01,35-54 years,female,1.68
2734,Bahrain,2002-01-01,25-34 years,female,1.68
18332,Panama,1996-01-01,55-74 years,female,1.68
93,Albania,1996-01-01,55-74 years,male,1.67
5758,Colombia,1995-01-01,25-34 years,female,1.67
24,Albania,1989-01-01,15-24 years,female,1.67
17804,Nicaragua,2010-01-01,55-74 years,female,1.67
16462,Mauritius,2008-01-01,35-54 years,female,1.67
14822,Latvia,1997-01-01,5-14 years,female,1.67
20224,Qatar,2016-01-01,35-54 years,female,1.67
25835,Turkmenistan,1996-01-01,5-14 years,male,1.67
27814,Uzbekistan,2014-01-01,5-14 years,female,1.67
27599,Uzbekistan,1993-01-01,5-14 years,male,1.67
18472,Panama,2008-01-01,35-54 years,female,1.67
26375,Ukraine,2012-01-01,5-14 years,male,1.67
20101,Qatar,2006-01-01,15-24 years,male,1.67
19058,Philippines,2011-01-01,25-34 years,female,1.67
16346,Mauritius,1998-01-01,55-74 years,female,1.66
16560,Mauritius,2016-01-01,55-74 years,female,1.66
22928,Slovakia,2005-01-01,15-24 years,female,1.66
10822,Guatemala,1995-01-01,75+ years,female,1.66
5406,Chile,1996-01-01,75+ years,female,1.66
15135,Lithuania,2002-01-01,5-14 years,male,1.66
26351,Ukraine,2010-01-01,5-14 years,male,1.66
7139,Czech Republic,1993-01-01,5-14 years,male,1.66
18456,Panama,2007-01-01,15-24 years,female,1.66
5836,Colombia,2001-01-01,55-74 years,female,1.66
23830,Spain,2010-01-01,25-34 years,female,1.66
27779,Uzbekistan,2011-01-01,5-14 years,male,1.66
18350,Panama,1998-01-01,25-34 years,female,1.66
6204,Costa Rica,2001-01-01,35-54 years,female,1.66
4340,Brazil,1999-01-01,15-24 years,female,1.66
16868,Mexico,2010-01-01,35-54 years,female,1.66
102,Albania,1997-01-01,5-14 years,female,1.66
23521,South Africa,2015-01-01,35-54 years,male,1.66
19550,Portugal,2001-01-01,25-34 years,female,1.65
1913,Austria,1995-01-01,5-14 years,male,1.65
22040,Serbia,2004-01-01,15-24 years,female,1.65
2700,Bahrain,1999-01-01,35-54 years,female,1.65
23624,Spain,1993-01-01,15-24 years,female,1.65
13102,Italy,2011-01-01,25-34 years,female,1.65
8644,Fiji,2004-01-01,25-34 years,female,1.65
12956,Italy,1999-01-01,15-24 years,female,1.65
10816,Guatemala,1995-01-01,35-54 years,female,1.65
4551,Bulgaria,1985-01-01,5-14 years,male,1.65
2845,Bahrain,2011-01-01,35-54 years,male,1.65
23397,South Africa,2005-01-01,15-24 years,male,1.65
7914,Ecuador,2003-01-01,35-54 years,female,1.65
16844,Mexico,2008-01-01,35-54 years,female,1.65
12764,Israel,2014-01-01,15-24 years,female,1.65
14309,Kuwait,2000-01-01,55-74 years,male,1.64
6896,Cuba,2014-01-01,25-34 years,female,1.64
8172,El Salvador,1999-01-01,75+ years,female,1.64
22634,Singapore,2004-01-01,5-14 years,female,1.64
19147,Poland,1996-01-01,5-14 years,male,1.64
12294,Ireland,2004-01-01,75+ years,female,1.64
18544,Panama,2014-01-01,35-54 years,female,1.64
9081,Finland,2015-01-01,5-14 years,male,1.64
27659,Uzbekistan,1998-01-01,5-14 years,male,1.64
10194,Greece,1999-01-01,35-54 years,female,1.64
23014,Slovakia,2013-01-01,25-34 years,female,1.64
5386,Chile,1995-01-01,25-34 years,female,1.64
11018,Guatemala,2012-01-01,25-34 years,female,1.64
26195,Ukraine,1997-01-01,5-14 years,male,1.64
26327,Ukraine,2008-01-01,5-14 years,male,1.64
27563,Uzbekistan,1990-01-01,5-14 years,male,1.63
23978,Sri Lanka,2000-01-01,5-14 years,female,1.63
10728,Guatemala,1988-01-01,15-24 years,female,1.63
8516,Estonia,2008-01-01,5-14 years,female,1.63
25991,Turkmenistan,2009-01-01,5-14 years,male,1.63
10872,Guatemala,2000-01-01,15-24 years,female,1.63
20119,Qatar,2007-01-01,5-14 years,male,1.63
23329,South Africa,1999-01-01,35-54 years,male,1.63
19572,Portugal,2003-01-01,15-24 years,female,1.63
1204,Armenia,2012-01-01,35-54 years,female,1.63
22916,Slovakia,2004-01-01,15-24 years,female,1.63
6967,Cyprus,2006-01-01,15-24 years,male,1.63
26099,Ukraine,1989-01-01,5-14 years,male,1.63
10046,Greece,1987-01-01,15-24 years,female,1.63
13016,Italy,2004-01-01,15-24 years,female,1.63
18231,Oman,2009-01-01,25-34 years,male,1.63
19528,Portugal,1999-01-01,35-54 years,female,1.63
5760,Colombia,1995-01-01,35-54 years,female,1.63
14220,Kuwait,1993-01-01,35-54 years,female,1.62
16832,Mexico,2007-01-01,35-54 years,female,1.62
18312,Panama,1989-01-01,15-24 years,female,1.62
